Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2018-01-01,1063.4425048828125,1083.2192350699193,1059.1816211560727,1078.194654324397,1351760
2018-01-02,1057.65380859375,1073.0893748500007,1053.2321788771071,1069.23045875186,1920290
2018-01-03,1060.64892578125,1072.8486489987426,1057.654294814651,1057.9758876600563,1257120
2018-01-04,1068.0650634765625,1070.0346597715693,1061.1913981205646,1065.2110625073851,913082
2018-01-05,1080.9683837890625,1085.1086587172376,1065.2113152808593,1065.2113152808593,1153706
2018-01-08,1091.0977783203125,1096.102339524943,1078.0138478542724,1085.309500240237,1242220
2018-01-09,1088.9266357421875,1093.7502310278671,1075.8828497844215,1091.3384333850274,2149396
2018-01-10,1128.1590576171875,1131.9375029249727,1083.1588358366498,1089.7310264309663,3365850
2018-01-11,1121.687255859375,1134.3089617523021,1118.3509150625578,1129.5256007757905,2520744
2018-01-12,1115.999267578125,1127.5155637609446,1101.6088532333433,1127.5155637609446,3360314
2018-01-15,1103.8402099609375,1128.721896268732,1099.3984606492768,1116.3211908817527,1457214
2018-01-16,1145.9456787109375,1150.2868362915262,1105.628438732736,1107.8191354655212,4267752
2018-01-17,1161.2607421875,1175.7516496679368,1150.4880236846457,1153.64349899042,4280806
2018-01-18,1173.0184326171875,1178.9675554907087,1152.859855128504,1164.4967638106318,2209478
2018-01-19,1189.53955078125,1198.6641712233175,1167.1700549012535,1177.9830132484967,1820000
2018-01-22,1255.658203125,1263.031649136002,1177.3306971200586,1193.0445565272053,4367110
2018-01-23,1249.8564453125,1266.1142885183842,1245.0415763591352,1255.0742338162556,3239610
2018-01-24,1279.108154296875,1313.1346829464733,1242.0596313348044,1245.0211287070022,5621538
2018-01-25,1257.531982421875,1281.2035041249715,1241.3950360381298,1279.269470763084,3833844
2018-01-29,1288.87890625,1299.4152103913075,1257.914507547802,1261.7019109839762,3141060
2018-01-30,1270.3447265625,1290.873454470599,1266.6579542854606,1281.2839511373406,1574758
2018-01-31,1254.0267333984375,1269.196615502786,1248.4865894418776,1263.958661216584,3043214
2018-02-01,1264.6031494140625,1285.3131718320253,1244.537739158054,1258.7204855182592,2400630
2018-02-02,1270.6669921875,1285.3131547879402,1250.4404537514738,1257.1087908897723,2456490
2018-02-05,1250.3399658203125,1284.5075643707307,1239.723094377125,1253.0798385172436,2757742
2018-02-06,1207.6507568359375,1239.8439931480727,1202.7149917942359,1212.7879816752597,2657306
2018-02-07,1190.6473388671875,1221.2490565219348,1187.5851111891373,1219.6373784532816,2180324
2018-02-08,1198.363037109375,1219.8789952741538,1192.2386809970478,1200.599259784033,2755004
2018-02-09,1197.3558349609375,1206.3409593082795,1167.1167074060097,1188.6125016564542,2102458
2018-02-12,1195.583251953125,1218.1669133784421,1190.848947036439,1200.0153671942778,1974562
2018-02-14,1173.22119140625,1198.4640624264634,1165.4448242448289,1196.6710900629703,2847532
2018-02-15,1178.8818359375,1185.7918647107938,1170.5212578903547,1181.3395854022488,2465236
2018-02-16,1181.782958984375,1208.597269110477,1177.7335986787832,1177.7335986787832,2515756
2018-02-19,1177.9757080078125,1189.9423997032786,1166.532733064257,1186.5981475592703,1568224
2018-02-20,1186.4970703125,1202.7347440939827,1179.707838118385,1179.748169411665,1889068
2018-02-21,1225.8018798828125,1233.981164508211,1192.6617546478944,1198.2824613817174,3089228
2018-02-22,1228.9852294921875,1240.5893325624866,1217.824377288118,1229.710504378275,3463010
2018-02-23,1239.2996826171875,1244.6181997633523,1205.5753438189292,1228.904340977088,3362500
2018-02-26,1221.5308837890625,1245.0009418840955,1217.3002295401723,1238.977315746382,1363882
2018-02-27,1225.8223876953125,1240.4080563907553,1221.6521308167114,1225.2784069306133,1717800
2018-02-28,1222.880615234375,1234.5249472189444,1217.40087173046,1222.860449589412,2706864
2018-03-01,1223.9486083984375,1233.4172171352113,1216.8169525556084,1228.501618656308,1718124
2018-03-05,1251.40771484375,1254.5504086162466,1222.0348208355592,1228.501699241021,2858168
2018-03-06,1226.0035400390625,1259.929344085106,1220.9065490692387,1257.9147464770392,1906764
2018-03-07,1219.8184814453125,1244.6181935149857,1216.2123720054983,1236.9627238883152,1917772
2018-03-08,1210.3497314453125,1230.8784555320683,1203.721726882387,1230.8784555320683,1951826
2018-03-09,1222.4984130859375,1234.2233145720043,1199.5722285361137,1210.7734132308267,1872436
2018-03-12,1229.7708740234375,1242.5635698278807,1223.0623028153343,1226.0841994620532,2091340
2018-03-13,1163.14794921875,1184.4623498991791,1157.184721370753,1178.4991220511822,88067154
2018-03-14,1163.188232421875,1177.753830957804,1158.4136955028403,1165.6259150019807,3668668
2018-03-15,1156.25830078125,1169.4942483516581,1150.5771937161774,1166.4521858443015,2348906
2018-03-16,1138.529052734375,1157.184236103005,1130.1886428512985,1155.8949140095533,7197482
2018-03-19,1140.6651611328125,1147.5147929728894,1136.2330464127629,1139.8593220928035,3489940
2018-03-20,1154.3040771484375,1157.66839626746,1135.8301769937448,1136.2330965315218,4024984
2018-03-21,1151.0404052734375,1162.1408583646873,1148.320698356278,1157.3863880801432,3907678
2018-03-22,1140.80615234375,1158.7763028123807,1137.2604411113734,1152.3295908877024,2326094
2018-03-23,1135.4874267578125,1141.9140707828917,1127.388804705208,1128.980316884259,3654122
2018-03-26,1135.0240478515625,1139.214370625955,1120.7405735614518,1135.8298867211765,2964210
2018-03-27,1147.3939208984375,1153.5586093543318,1137.461993874904,1138.2476672811692,2494574
2018-03-28,1147.97802734375,1158.3935355238052,1138.2475609929566,1142.639344093075,6865654
2018-04-02,1172.354736328125,1174.107475579224,1144.2914312439932,1144.2914312439932,1662988
2018-04-03,1172.9991455078125,1180.5135532409247,1165.2832780674428,1165.2832780674428,1937290
2018-04-04,1172.8582763671875,1182.1657557137664,1165.2431375338147,1180.332452403802,2841820
2018-04-05,1191.81591796875,1194.1528711398532,1176.6662012145969,1179.1642828654856,1809424
2018-04-06,1188.7327880859375,1192.6410854828143,1179.1634550520805,1190.2235697689978,1129018
2018-04-09,1178.09619140625,1194.0518416632056,1174.5102474939242,1184.4623386650962,1235866
2018-04-10,1183.6160888671875,1191.5334158639043,1178.8212889044491,1178.8212889044491,1184532
2018-04-11,1214.459716796875,1218.831432522288,1186.8396650129448,1188.8542624220727,3124416
2018-04-12,1264.8648681640625,1269.196252199346,1211.9615253430316,1212.787529879375,6114360
2018-04-13,1270.5262451171875,1305.7817059760641,1261.9843702743287,1269.1965909195608,8179118
2018-04-16,1284.366455078125,1289.322385181695,1253.3819812510349,1255.497308873495,6270274
2018-04-17,1275.8851318359375,1287.307842463997,1268.068433266019,1284.3665099703946,3301724
2018-04-18,1272.863037109375,1286.7032629707203,1267.5243537120962,1275.6431423233691,2433066
2018-04-19,1285.776611328125,1296.2726846973385,1275.5424946733021,1281.243766642008,4820952
2018-04-20,1370.913330078125,1378.931486546978,1305.4590818957647,1309.4882765929738,18465662
2018-04-23,1373.41162109375,1433.5473611435857,1365.715917066912,1379.596475247156,15185910
2018-04-24,1364.14404296875,1387.311908735498,1346.7581100061714,1373.9551698193102,8314336
2018-04-25,1398.2314453125,1403.3686691228118,1355.8443320573008,1363.8825566984547,8196574
2018-04-26,1426.03271484375,1434.3932937327822,1396.9217835313361,1396.9217835313361,12135034
2018-04-27,1390.8582763671875,1427.947044762899,1377.9850149799984,1420.2915724574545,4501330
2018-04-30,1423.1519775390625,1429.9612776086399,1385.076085531732,1390.857921222546,3458558
2018-05-02,1410.11767578125,1423.192395325703,1398.6546344147025,1422.507451773899,3158046
2018-05-03,1402.9051513671875,1420.6940060545555,1398.2916448871472,1414.166730521867,3761550
2018-05-04,1402.462158203125,1409.0096005850255,1398.1307732427906,1406.9950029290562,2347244
2018-05-07,1378.3677978515625,1406.1894161456746,1374.3184361627784,1406.1894161456746,3484426
2018-05-08,1386.5263671875,1404.778637624063,1368.5964519790473,1383.9073908087373,2992820
2018-05-09,1405.90673828125,1408.1026294252106,1386.123355603004,1386.123355603004,2615050
2018-05-10,1390.5760498046875,1414.710890684038,1386.123769254289,1411.4069701598287,3858678
2018-05-11,1392.8724365234375,1404.1743472851444,1387.0502698792282,1391.7644079854076,2627876
2018-05-14,1383.4439697265625,1398.533282064668,1374.2775530838164,1392.8924102845165,2433894
2018-05-15,1403.126708984375,1408.5258888499256,1383.504550664906,1390.072157634197,1952890
2018-05-16,1407.760498046875,1413.8446222608684,1400.2460882052103,1402.139790311008,1648450
2018-05-17,1406.914306640625,1423.5749686702711,1400.5481589714966,1415.4360145778994,2968048
2018-05-18,1411.044189453125,1417.349839989172,1393.2955666243759,1402.482150473724,1874996
2018-05-21,1433.0841064453125,1447.28702055291,1417.4911395669478,1421.7821934178012,3446178
2018-05-22,1413.803955078125,1440.4168032257546,1407.679599387774,1433.5873385296625,1857416
