Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
2018-01-01,406.4489440917969,410.7550694668685,405.0528688854711,408.08091481988475,5431340
2018-01-02,404.9348449707031,409.7719029502441,402.3000544319575,407.90394082067246,6112248
2018-01-03,401.63153076171875,405.6820545192454,400.5697369217632,404.46297300080283,6846552
2018-01-04,399.3113708496094,401.5135905405488,397.0304713096574,401.5135905405488,8947614
2018-01-05,397.9742736816406,403.6371583231272,395.61474241475344,399.2720110779499,11025976
2018-01-08,407.43206787109375,408.5921515055043,401.13996068863577,403.0472628040286,5594690
2018-01-09,409.5162658691406,410.91234093883935,404.6202581544522,408.9853809851644,9948236
2018-01-10,413.80279541015625,415.2775024501069,406.2523145675234,411.6595737140092,9468634
2018-01-11,423.06396484375,426.0526947732614,414.9825512535298,414.9825512535298,16775298
2018-01-12,424.1060485839844,427.0358286085206,420.99937092725446,426.9965126897237,18016528
2018-01-15,425.1679382324219,429.8083215442862,418.8561720439302,424.71568507790806,10649250
2018-01-16,441.5666198730469,446.2660486155505,425.2072121109386,425.2072121109386,22646966
2018-01-17,453.06939697265625,456.88400197878286,441.6256779638658,442.35319062847515,26154088
2018-01-18,453.30523681640625,458.10297892145707,445.2041895300746,450.2771910653042,13204970
2018-01-19,449.6676330566406,451.41764747545477,446.7379010588288,450.27719781017515,5988278
2018-01-22,452.2434997558594,454.97660431333856,445.1649058466372,445.2239037301715,9650214
2018-01-23,462.9007263183594,467.1872179697127,454.20979524833183,454.20979524833183,15403796
2018-01-24,466.322021484375,480.18426687184063,459.12543233662825,461.9962144131091,20604718
2018-01-25,462.2323303222656,465.378373002009,457.061013066477,464.8278059320936,13548914
2018-01-29,465.1815490722656,470.43149597815017,458.2209037771809,458.7518366592259,10823002
2018-01-30,460.3641662597656,465.26017383819095,457.23775891041663,463.60852135517,8628312
2018-01-31,452.34185791015625,458.7715717404789,449.1564999396543,455.8418392871637,9213698
2018-02-01,450.11993408203125,455.3502479292239,439.8756639744194,449.1761119135046,13005454
2018-02-02,449.5890197753906,457.3164942690542,444.41770415208794,446.44297808879264,10244486
2018-02-05,447.6029357910156,454.15064280949986,446.6787959066132,448.3108141731983,9860220
2018-02-06,435.6285095214844,443.7295581883144,430.67350290039747,432.56109932496815,10552078
2018-02-07,436.13970947265625,442.33347902476316,433.97680581953955,438.87281397786194,8342056
2018-02-08,446.0497741699219,450.8278351318364,439.08917533982844,441.5470206901145,8807244
2018-02-09,436.1790771484375,440.56388285736546,434.9403134900707,439.65937656591234,4382690
2018-02-12,433.6818542480469,440.68176801302224,431.7155782458428,438.40091665333665,6291972
2018-02-14,431.69598388671875,439.38414381738676,428.72688731896636,434.94033994872325,8345712
2018-02-15,438.2632751464844,444.26041744879774,433.7605219312533,433.7605219312533,7986736
2018-02-16,443.61151123046875,448.95977191149325,439.69859350806263,442.41206376678855,9889222
2018-02-19,445.06658935546875,446.73792401838966,440.5638363478672,443.74919398682965,6461840
2018-02-20,447.1116027832031,452.04697609560515,434.0555457725308,434.0555457725308,7188594
2018-02-21,451.22100830078125,452.99065663104903,448.3109103344954,451.260324218275,13771358
2018-02-22,456.47100830078125,457.74908779850045,448.48790792849667,450.4935480056717,17859974
2018-02-23,454.4653015136719,458.53548251652967,450.9653212485681,457.55234468952165,9459828
2018-02-26,447.7604064941406,454.2294839925744,446.0890717247711,452.6367810692592,5083608
2018-02-27,452.3221740722656,453.6789335018107,442.66778638680717,450.25758398820244,6616026
2018-02-28,461.131103515625,467.7771269419887,449.3138118774689,451.29972211709645,17268416
2018-03-01,456.47100830078125,459.9513074859203,454.6227279213798,459.9513074859203,6579852
2018-03-05,454.563720703125,460.42323311178416,449.58903254395096,456.4709989288354,8101456
2018-03-06,452.7743225097656,458.29957675415466,449.7265949952322,457.1788091400888,6689734
2018-03-07,449.9233093261719,456.17607722705236,447.5441439331633,454.20980103210815,6370416
2018-03-08,454.85870361328125,458.4569988237264,451.85029128963725,451.85029128963725,6093014
2018-03-09,457.5130920410156,458.5355459215307,454.4260484382982,457.10015489466184,4220964
2018-03-12,466.3023986816406,468.7012460336306,460.796825347006,462.4681601093058,7676970
2018-03-13,465.5354919433594,470.7264410132723,462.13382510366887,464.1197349199452,8581052
2018-03-14,464.35577392578125,468.20964620378146,459.7546591386027,464.0411505539995,4429710
2018-03-15,465.0242919921875,467.34450736291564,460.895112232426,464.041153954149,6101500
2018-03-16,460.85577392578125,464.9849534849678,459.8136380551249,464.82764180556563,17954826
2018-03-19,450.9654235839844,464.23778726042605,449.3530867827668,457.74907612972123,7526620
2018-03-20,457.96533203125,460.10855352739213,451.692883203798,451.692883203798,8553766
2018-03-21,459.1256103515625,462.27165307774027,457.04133784354883,460.10874870349306,7692994
2018-03-22,456.6872863769531,463.03831950061704,454.3277551593089,457.94568382444913,6813168
2018-03-23,459.1648254394531,461.603036819624,449.2351302657888,451.06377679971905,12008084
2018-03-26,454.3080749511719,458.88950768407545,449.88395390100897,458.88950768407545,8930722
2018-03-27,453.8164367675781,456.6872185244317,452.2827321030232,456.17596763465394,3802088
2018-03-28,445.08624267578125,452.53840931485536,442.90365717215366,452.53840931485536,12558322
2018-04-02,447.1901550292969,452.0665290529873,440.9570697834533,448.70417793055964,8072702
2018-04-03,448.48779296875,449.7069222732938,443.63110172327833,446.2265759754743,4077168
2018-04-04,442.0974426269531,450.10022373511686,440.44579011593095,449.8839141898438,4813302
2018-04-05,451.28009033203125,452.75479754891757,444.02450202207507,448.1340482693404,7763544
2018-04-06,443.1986999511719,450.6705502609077,441.27173948086,449.49078442252835,5937742
2018-04-09,437.00482177734375,442.7267038875678,435.15654162055864,442.41208053949316,7202882
2018-04-10,437.850341796875,442.21546484130585,434.70430025064957,437.2997749253287,8926058
2018-04-11,442.1171569824219,444.9682571719905,439.0694291935726,439.6593119914144,9025574
2018-04-12,457.1985778808594,461.1901285646847,442.4121889876532,444.1621557777309,17044366
2018-04-13,460.6786804199219,466.3612455747737,452.3416912715112,461.68150015453523,21227038
2018-04-16,445.63677978515625,448.3109343851575,433.3672365723189,433.3672365723189,24745084
2018-04-17,442.49072265625,443.3559128811681,438.4795389013975,443.19860120347533,10397940
2018-04-18,442.78570556640625,446.2463707809877,438.0273268999483,441.5666239583567,10430380
2018-04-19,445.49908447265625,448.23223655204873,441.6648467825669,442.018786016454,8525542
2018-04-20,463.4314880371094,469.4286287604282,447.11140016709425,447.9175923842707,24272692
2018-04-23,467.0691223144531,477.569063619204,454.30801190265254,459.32201506366425,21830638
2018-04-24,454.0132141113281,470.4906197029883,452.2828813037085,466.00749997568107,8526216
2018-04-25,456.3135681152344,460.5017447370688,450.3557434564086,453.0298974697722,11594178
2018-04-26,462.64501953125,464.6899751915391,456.1759912707453,461.6815635791853,11302084
2018-04-27,466.0860900878906,468.60293321859444,461.76028245863995,464.0411820468881,7663370
2018-04-30,471.7095642089844,475.03255110758573,464.2967140472565,464.7096031622036,5511678
2018-05-02,470.74627685546875,472.53555967058753,464.4345100779769,471.47378956072794,10295042
2018-05-03,465.04388427734375,473.75444721081874,462.5073598254673,470.8247156243387,5332230
2018-05-04,461.3276062011719,466.4006072298384,454.2096975973553,466.00735208040345,6023368
2018-05-07,465.2208251953125,467.97361114321376,462.271411679704,464.53262870833714,4638960
2018-05-08,458.358642578125,463.2153349622356,456.58899408154144,463.2153349622356,5718556
2018-05-09,460.3838806152344,462.82209185499715,457.35583453262615,459.1254830755297,3783504
2018-05-10,459.32208251953125,465.22091063408,457.2968085992456,462.4681241806239,3182862
