Date,Close,High,Low,Open,Volume,Ticker,Daily_Return,SMA20,SMA50,SMA100,SMA200,EMA20,EMA50,EMA100,RSI,MACD,MACD_Signal,MACD_Histogram,BB_High,BB_Low,BB_Middle,ATR,Volatility,Lag_Close_1,Lag_Close_3,Lag_Close_5,Lag_Volume_1,Momentum_5,Momentum_10,Momentum_20,ROC,Volume_Change,Volume_MA20,High_Low_Spread,Open_Close_Spread,Target_Return,Target
2018-10-23,1504.227783203125,1548.5717433963084,1498.8020509057,1540.4127774142414,2752811,TCS,-0.029146941237497392,1673.07548828125,1668.0820947265624,1595.4649499511718,1420.3430340576172,1630.1274451950023,1642.1762323106427,1582.790241795263,30.728887267070036,-41.8954167427612,-20.819753713228053,-21.075663029533146,1866.2169951593723,1479.9339814031277,1673.07548828125,47.459962631846,0.0246390712783697,1549.3876953125,1570.882080078125,1587.247314453125,1778496.0,-83.01953125,-187.275390625,-208.118408203125,-11.071536460742651,0.5478308638310123,3341798.45,49.76969249060835,36.18499421111642,0.0026307687138967203,HOLD
2018-10-24,1508.18505859375,1528.9904245629905,1477.6705019195113,1511.0815317340564,2735913,TCS,0.0026307687138966696,1658.9878662109375,1666.2101904296876,1596.3499291992186,1422.5667486572265,1618.5138845663116,1636.9216764786077,1581.312911434837,31.485197330331005,-46.06174302722229,-25.868151576026904,-20.19359145119539,1857.0187276964207,1460.9570047254542,1658.9878662109375,47.73567406124837,0.02160714969126087,1504.227783203125,1557.6923828125,1597.6688232421875,2752811.0,-89.4837646484375,-194.9202880859375,-281.75244140625,-11.444993022066841,-0.0061384526580284815,3326982.8,51.31992264347923,2.896473140306398,0.002434307844272934,HOLD
2018-10-25,1511.8564453125,1531.3563945588717,1489.052174494708,1504.5133756914463,2507233,TCS,0.0024343078442730093,1645.7046203613281,1664.3034301757812,1597.3094982910156,1424.8377618408203,1608.3560332088057,1632.0171576093485,1579.9375358680581,32.22452814319131,-48.50816447449529,-30.39615415572058,-18.112010318774708,1845.7794480717496,1445.6297926509067,1645.7046203613281,47.3477130614566,0.02173955194818435,1508.18505859375,1549.3876953125,1570.882080078125,2735913.0,-59.025634765625,-152.005126953125,-265.6649169921875,-9.135683489951912,-0.08358452918641779,3308905.55,42.3042200641637,-7.343069621053701,-0.02908803203325795,SELL
2018-10-26,1467.8795166015625,1512.5906890072938,1461.3523439640396,1512.5906890072938,2285970,TCS,-0.029088032033257938,1631.8936462402344,1661.5114282226561,1597.8414880371095,1426.8739141845704,1594.9773173414492,1625.580387373749,1577.7185651895136,28.28702338852395,-53.380207904718645,-34.992964905520196,-18.38724299919845,1840.8315016270315,1422.9557908534373,1631.8936462402344,47.62561534587071,0.02213078488768847,1511.8564453125,1504.227783203125,1557.6923828125,2507233.0,-89.8128662109375,-144.1593017578125,-276.219482421875,-8.942669377188334,-0.08824987546031826,3324656.5,51.238345043254185,44.711172405731304,0.03996442705529682,BUY
2018-10-29,1526.54248046875,1532.2129217841166,1455.8450228515824,1475.7120843856874,2609483,TCS,0.03996442705529679,1619.1146850585938,1659.5873681640626,1599.0299865722657,1429.166301879883,1588.4597138297636,1621.6965478872785,1576.7051773732608,38.995342541265,-51.90934785745753,-38.376241495907664,-13.53310636154987,1820.8766729805786,1417.3526971366089,1619.1146850585938,49.678635602060965,0.023746864640160858,1467.8795166015625,1508.18505859375,1549.3876953125,2285970.0,-22.84521484375,-35.3026123046875,-255.5792236328125,-2.260314577164569,0.14152110482639757,3289540.55,76.36789893253422,-50.830396083062624,0.012720628053272193,BUY
2018-10-30,1545.9610595703125,1557.87313110551,1505.3293653181424,1523.2790921674643,2404883,TCS,0.01272062805327212,1607.51630859375,1657.936875,1600.3167895507813,1431.4912670898439,1584.412222947911,1618.7265287375935,1576.0963829613213,42.07853898080371,-48.6163446686528,-40.42426213045669,-8.19208253819611,1797.7680623296376,1417.2645548578623,1607.51630859375,49.8832877581543,0.024152591810604855,1526.54248046875,1511.8564453125,1504.227783203125,2609483.0,41.7332763671875,-41.2862548828125,-231.967529296875,-2.601122994940293,-0.0784063356611252,3264566.15,52.54376578736765,-22.68196740284816,0.02287833728782149,BUY
2018-10-31,1581.330078125,1586.0214837616547,1530.173299511597,1550.2036016772345,2769190,TCS,0.022878337287821404,1594.7614379882812,1656.9383959960937,1602.1413244628907,1433.9424298095703,1584.1186853457289,1617.2600012625899,1576.2000204893147,47.30270280810245,-42.660863827834646,-40.87158246993228,-1.789281357902368,1753.5130074927824,1436.0098684837799,1594.7614379882812,50.30935179329027,0.02337939322194956,1545.9610595703125,1467.8795166015625,1508.18505859375,2404883.0,73.14501953125,-16.3387451171875,-255.097412109375,-1.0226615728803479,0.15148637168627332,3214415.25,55.848184250057784,-31.126476447765526,-0.0012383574942474505,HOLD
2018-11-01,1579.371826171875,1586.3885169357627,1551.2642284480698,1585.8174291607115,2769759,TCS,-0.0012383574942474995,1585.6823974609374,1655.8201538085937,1603.9125573730469,1436.3946539306642,1583.6666035196474,1615.7741904747188,1576.2628285226326,47.04967737763441,-37.66493895077224,-40.230253766100276,2.565314815328037,1724.951238325761,1446.4135565961137,1585.6823974609374,49.22470441431903,0.021994500227390273,1581.330078125,1526.54248046875,1511.8564453125,2769190.0,67.515380859375,8.48974609375,-181.580810546875,0.5404445184916603,0.00020547524727443367,3157787.1,35.124288487692866,6.4456029888365265,-0.011520214459275445,SELL
2018-11-02,1561.1771240234375,1594.7512850454675,1554.2828384109148,1578.1069764628214,1818635,TCS,-0.011520214459275424,1579.6851318359375,1654.2688110351562,1605.4222119140625,1438.5597442626954,1581.5247483295323,1613.633129045257,1575.9641017008662,44.65937981210242,-34.77295195123111,-39.13879340312645,4.365841451895342,1712.1626119218872,1447.2076517499877,1579.6851318359375,48.59925743005,0.019951510491247337,1579.371826171875,1545.9610595703125,1467.8795166015625,2769759.0,93.297607421875,3.4847412109375,-119.9453125,0.22371177065433206,-0.3433959416685711,3010597.9,40.46844663455272,16.92985243938392,-0.011810858927984575,SELL
2018-11-05,1542.73828125,1572.5185113013956,1537.7613312155584,1558.3627232374142,1713366,TCS,-0.011810858927984613,1571.22509765625,1652.3942944335938,1606.6536328125,1440.6649987792969,1577.8307990838625,1610.8529389356393,1575.3061646622352,42.31328552505972,-33.58178205088211,-38.027391132677586,4.4456090817954745,1689.7105089997117,1452.7396863127883,1571.22509765625,47.610537619749095,0.019344442121412054,1561.1771240234375,1581.330078125,1526.54248046875,1818635.0,16.19580078125,-6.6494140625,-169.20068359375,-0.4291639905633085,-0.0578835225320089,2925385.0,34.75718008583726,15.62444198741423,0.02213281540787105,BUY
