Model,Accuracy,Macro_F1,Weighted_F1,Balanced_Accuracy
LogisticRegression,0.5716999050332384,0.32122115893213465,0.5044532919315644,0.35013357967393843
RandomForest,0.5954415954415955,0.30065439533151583,0.505233134151322,0.33513668070842956
XGBoost,0.6125356125356125,0.28773117488349276,0.5019567980961163,0.33643632774798693
