Model,Weights,Accuracy,Macro_F1,Balanced_Accuracy
LogisticRegression,"{0: 3.0, 1: 1.0, 2: 2.5}",0.5365622032288699,0.3715487378013047,0.3713919986341511
XGBoost,"{0: 3.0, 1: 1.0, 2: 2.5}",0.5698005698005698,0.35318137418697776,0.36407582203546324
XGBoost,"{0: 2.0, 1: 1.0, 2: 2.0}",0.5754985754985755,0.3405882906578997,0.3587524520820485
XGBoost,"{0: 2.5, 1: 1.0, 2: 2.0}",0.5821462488129154,0.328294851948223,0.34997047048616553
XGBoost,"{0: 1.5, 1: 1.0, 2: 1.5}",0.5849952516619183,0.32560231287183783,0.3509436813809011
LogisticRegression,"{0: 2.0, 1: 1.0, 2: 2.0}",0.6229819563152896,0.28499650790672465,0.33941715359876795
LogisticRegression,"{0: 2.5, 1: 1.0, 2: 2.0}",0.603988603988604,0.28486938163964365,0.3302037710669998
LogisticRegression,"{0: 1.5, 1: 1.0, 2: 1.5}",0.6343779677113011,0.2593671131819064,0.3328350772296961
