SELL_Threshold,BUY_Threshold,Accuracy,Macro_F1,Balanced_Accuracy
0.33999999999999997,0.35999999999999993,0.5061728395061729,0.35911954125725326,0.3625340155609214
0.33999999999999997,0.33999999999999997,0.4567901234567901,0.3525154075421182,0.35616426423601305
0.31999999999999995,0.35999999999999993,0.452991452991453,0.3480216991636242,0.3622393737304051
0.33999999999999997,0.3799999999999999,0.533713200379867,0.3440753136795904,0.3588395597924745
0.35999999999999993,0.35999999999999993,0.5479582146248813,0.3407352609310994,0.34691081215744896
0.31999999999999995,0.33999999999999997,0.4036087369420703,0.33757427213309565,0.35586962240549685
0.35999999999999993,0.33999999999999997,0.4985754985754986,0.33688372655573184,0.3405410608325406
0.31999999999999995,0.3799999999999999,0.4805318138651472,0.3349782754996025,0.35854491796195825
0.33999999999999997,0.31999999999999995,0.4036087369420703,0.3345195707702096,0.34501012191595154
0.33999999999999997,0.29999999999999993,0.3732193732193732,0.33016320466130367,0.3569795924056014
0.29999999999999993,0.35999999999999993,0.39886039886039887,0.32643297296762647,0.35702924380054424
0.35999999999999993,0.3799999999999999,0.5754985754985755,0.32425666980026296,0.3432163563890021
0.3799999999999999,0.35999999999999993,0.5726495726495726,0.3239903034733346,0.34330085086811546
0.35999999999999993,0.31999999999999995,0.4453941120607787,0.3225302031343626,0.32938691851247903
0.35999999999999993,0.29999999999999993,0.41500474833808165,0.3216934248763685,0.34135638900212895
0.3799999999999999,0.33999999999999997,0.5232668566001899,0.3213081891626675,0.33693109954320716
0.33999999999999997,0.3999999999999999,0.5365622032288699,0.3208616972521206,0.34916886178096934
0.33999999999999997,0.4599999999999999,0.5432098765432098,0.31877370754644835,0.35126097121612815
0.33999999999999997,0.47999999999999987,0.5432098765432098,0.31877370754644835,0.35126097121612815
0.33999999999999997,0.49999999999999983,0.5432098765432098,0.31877370754644835,0.35126097121612815
0.33999999999999997,0.5199999999999998,0.5432098765432098,0.31877370754644835,0.35126097121612815
0.33999999999999997,0.5399999999999998,0.5432098765432098,0.31877370754644835,0.35126097121612815
0.33999999999999997,0.5599999999999998,0.5432098765432098,0.31877370754644835,0.35126097121612815
0.33999999999999997,0.5799999999999998,0.5432098765432098,0.31877370754644835,0.35126097121612815
0.33999999999999997,0.5999999999999999,0.5432098765432098,0.31877370754644835,0.35126097121612815
0.33999999999999997,0.6199999999999999,0.5432098765432098,0.31877370754644835,0.35126097121612815
0.33999999999999997,0.6399999999999998,0.5432098765432098,0.31877370754644835,0.35126097121612815
0.33999999999999997,0.6599999999999997,0.5432098765432098,0.31877370754644835,0.35126097121612815
0.33999999999999997,0.6799999999999997,0.5432098765432098,0.31877370754644835,0.35126097121612815
0.33999999999999997,0.6999999999999997,0.5432098765432098,0.31877370754644835,0.35126097121612815
0.33999999999999997,0.4399999999999999,0.5422602089268755,0.31863805342083173,0.35076271511249085
0.33999999999999997,0.41999999999999993,0.540360873694207,0.318365620187216,0.3497662029052164
0.33999999999999997,0.27999999999999997,0.3475783475783476,0.31806960883045665,0.35608782722011423
